Name,Classy Designations: Designation Name,City,State
Fenway Community Center,Community Managed,Boston,Massachusetts
No Pressure On Us Youth Foundation,Community Managed,Dorchester,Massachusetts
WorkInc Family Support Center,Community Managed,Dorchester,Massachusetts
Boston Public Schools,Community Managed,East Boston,Massachusetts
Holiday Dreams Foundation,Community Managed,holliston,Massachusetts
"Project Just Because, Inc.",Community Managed,Hopkinton,Massachusetts
Leicester Food Pantry,Community Managed,Leicester,Massachusetts
Whittier Street Health Center,Community Managed,Roxbury,Massachusetts
Vivo en shelter,Community Managed,Springfield,Massachusetts
UAW Local 2200,Community Managed,Canton,Michigan
Chosen Generations Community Center,Community Managed,Detroit,Michigan
Frontier International Academy,Community Managed,Detroit,Michigan
Mary McLeod Bethune Elementary-Middle School,Community Managed,Detroit,Michigan
1981,Community Managed,Detroit,Michigan
Farmington Hills Church of God,Community Managed,Farmington Hills,Michigan
Fenton Center of Hope,Community Managed,Fenton,Michigan
"Carletta Cares, LLC",Community Managed,Rochester Hills,Michigan
Conner Creek Academy East,Community Managed,Roseville,Michigan
New Beginning Ministry Outreach,Community Managed,Saginaw,Michigan
Saginaw Covenant Academy,Community Managed,Saginaw,Michigan
Sault Ste Marie Rotary Club,Rotary,Sault Ste. Marie,Michigan
Kingdom Builders & Kingdom Daughters,Community Managed,Southfield,Michigan
"Falswar Intl Charity, Inc.",Community Managed,Brooklyn Park,Minnesota
Rashad Vaughn Foundation,Community Managed,Minneapolis,Minnesota
River Bend Education Center,Community Managed,Minneapolis,Minnesota
Shakopee Mdewakanton Sioux Community,Community Managed,Shakopee,Minnesota
The Journey School,Community Managed,St. Paul,Minnesota
"Elks Lodge #179 Stillwater, MN",Community Managed,Stillwater,Minnesota
Stillwater Public Library,Community Managed,Stillwater,Minnesota
Greenwood ADHD Parent Support Group,Community Managed,Greenwood,Mississippi
Greater Mount Calvary,Community Managed,Jackson,Mississippi
Topgolf Chesterfield,Community Managed,Chesterfield,Missouri
The Allstar Sparks Association,Community Managed,Florissant,Missouri
LALE Youth Organization,Community Managed,Florissant,Missouri
Help For Incarcerated Parents with Children HIP-C,Community Managed,Florissant,Missouri
"Elks Lodge #2597 Lake Taneycomo, MO",Community Managed,Forsyth,Missouri
Kirkwood Community Outreach,Community Managed,Kirkwood,Missouri
Barton County Library,Community Managed,Lamar,Missouri
Andrew County Rotary Club,Rotary,Savannah,Missouri
Sickle Cell Team-The Costas Center @ Cardinal Glennon Children's Hospital,Community Managed,St. Louis,Missouri
Sula Country Life Club,Community Managed,Sula,Montana
Keene Head Start,Community Managed,keene,New Hampshire
Living End,Community Managed,Burlington,New Jersey
Rotary Club of Burlington NJ,Rotary,Burlington,New Jersey
Kearny Elks 1050,Community Managed,kearny,New Jersey
"Knights of Columbus, Manchester NJ",Community Managed,Manchester Township,New Jersey
"In My CARE Mentoring Program, Inc",Community Managed,Mays Landing,New Jersey
Green Flag Committee for Children's Charities,Community Managed,Millville,New Jersey
MCPK /Montclair Community Pre-K,Community Managed,montclair,New Jersey
Kicks for Kids,Community Managed,Newark,New Jersey
1968,Community Managed,Oaklyn,New Jersey
Rotary Club of Paterson NJ,Rotary,Paterson,New Jersey
Salem High School,Community Managed,Salem,New Jersey
Stepping in The Right Direction,Community Managed,Willingboro Township,New Jersey
Youth Development inc.,Community Managed,Albuquerque,New Mexico
St Marks In The Valley Day School,Community Managed,Albuquerque,New Mexico
Melloy Honda,Community Managed,Farmington,New Mexico
Northern Rivers,Community Managed,Albany,New York
Mt Moriah Pentecostal Church of God inc,Community Managed,Brooklyn,New York
St. Paul Pentecostal Church Youth Department,Community Managed,Brooklyn,New York
Granville T. Woods PS 335,Community Managed,Brooklyn,New York
Brooklyn Public Library,Community Managed,Brooklyn,New York
Harvest House,Community Managed,Buffalo,New York
Buffalo Public Schools #69,Community Managed,Buffalo,New York
I.S. 61 Middle School,Community Managed,Corona,New York
Cayuga Medical Center,Community Managed,Ithaca,New York
Kingdom Ambassadors Global Ministry,Community Managed,Lynbrook,New York
Indian Reservation,Community Managed,Mastic,New York
Genesee Valley Educational Partnership,Community Managed,Mount Morris,New York
NYPD/SSD,Community Managed,New York,New York
Covenant Church of the Heights,Community Managed,New York,New York
City in the Community,Community Managed,New York,New York
Partnership With Children,Community Managed,New York,New York
Hudson Guild,Community Managed,New York,New York
NYC Department of Education Office of Community Schools,Community Managed,New York,New York
The Bridge,Community Managed,New York,New York
P.S 46 Arthur Tappan School,Community Managed,New york,New York
St. Lawrence County People Project,Community Managed,Ogdensburg,New York
Eliane Garcia,Community Managed,Paulsboro,New Jersey
Waterside School For Leadership,Community Managed,Rockaway Beach,New York
Ronkonkoma Rotary Club,Rotary,Ronkonkoma,New York
Northeast Parent and Child Society,Community Managed,schenectady,New York
Rotary Club of Staten Island,Rotary,Staten Island,New York
High Rollaz,Community Managed,WATERVLIET,New York
Hickory Grove Christian School,Community Managed,Charlotte,North Carolina
Rotary-Charlotte Top of the Week,Rotary,Charlotte,North Carolina
Dallas-High Shoals Christian Ministry,Community Managed,Dallas,North Carolina
Pay It Forward With Love,Community Managed,Enochville,North Carolina
Gastonia Parish Nurse Ministry,Community Managed,Gastonia,North Carolina
SGA Northeast High School,Community Managed,McLeansville,North Carolina
Mount Holly Rotary Club,Rotary,Mount Holly,North Carolina
Discover NC Homes,Community Managed,Southport,North Carolina
AEP Ohio,Community Managed,Canton,Ohio
"Springwood Lake Camp Club Charities, Inc",Community Managed,Canton,Ohio
ConstructConnect Adopt a Class,Community Managed,Cincinnati,Ohio
Changing Lives Ministries,Community Managed,Cleveland,Ohio
"Brightside Academy Ohio, LLC.",Community Managed,Cleveland,Ohio
Famicos Foundation,Community Managed,Cleveland,Ohio
Famicos Foundation,Community Managed,Cleveland,Ohio
American Legion Auxiliary,Community Managed,Cleveland,Ohio
Desire 2 Dream,Community Managed,Cleveland,Ohio
St Philip Episcopal Church,Community Managed,Columbus,Ohio
Millennuim Community School,Community Managed,Columbus,Ohio
Sanctuary Church of God,Community Managed,East Canton,Ohio
Empowerment Church,Community Managed,East Cleveland,Ohio
Sharks Inc,Community Managed,Euclid,Ohio
The Marcus Project,Community Managed,Grove City,Ohio
American Electric Power,Community Managed,Jackson,Ohio
Kitten K9 Crusade,Community Managed,Lorain,Ohio
Premier Physician Network,Community Managed,Morrow,Ohio
Licking County Educational Service Center,Community Managed,Newark,Ohio
Blessed Sacrament School,Community Managed,Newark,Ohio
Rotary Club of Tiffin,Rotary,Tiffin,Ohio
"City of Zion, the Mt. Zion Church, Inc.",Community Managed,Toledo,Ohio
Western & Southern Financial Fund,Community Managed,Van Wert,Ohio
Community Coats,Community Managed,Versailles,Ohio
Community Volunteer Council,Community Managed,Warren,Ohio
Youngstown Rotary Foundation,Rotary,Youngstown,Ohio
Comanche Nation EPA,Community Managed,Lawton,Oklahoma
"Elks Lodge #1320 Miami, OK",Community Managed,Miami,Oklahoma
Paying it Forward,Community Managed,Rocky,Oklahoma
Jefferson County Library,Community Managed,Madras,Oregon
Portland Village School,Community Managed,Portland,Oregon
Rich Youth Worship Center,Community Managed,Allentown,Pennsylvania
Thomas Jefferson Elementary School,Community Managed,Bethlehem,Pennsylvania
Hearts organizations,Community Managed,Carbondale,Pennsylvania
National Giving Alliance,Community Managed,Castle Shannon,Pennsylvania
The Women's Circle,Community Managed,Chester,Pennsylvania
Philadelphia Region Church of God of Propuecy,Community Managed,Chester,Pennsylvania
Primera Igesia Restauracion y Vida Inc.,Community Managed,Chester,Pennsylvania
Upper Darby Kindergarten Center,Community Managed,Drexel hill,Pennsylvania
Foodnastics,Community Managed,Drexel Hill,Pennsylvania
"Keeping Faith in Our Children Ressler, Torres, Toro, Nolan",Community Managed,Ephrata,Pennsylvania
Sarah A. Reed Children's Center,Community Managed,Erie,Pennsylvania
COAT RESCUE,Community Managed,HARRISBURG,Pennsylvania
Heavenly Impact Preschool,Community Managed,HARRISBURG,Pennsylvania
Elks Lodge Hazelton 200,Community Managed,Hazleton,Pennsylvania
The REFUGE Hub,Community Managed,Lansdale,Pennsylvania
Communities in Schools of Pennsylvania,Community Managed,Lebanon,Pennsylvania
Salvation Army Levittown,Community Managed,Levittown,Pennsylvania
Rotary Club of Hamlin Lake Ariel,Rotary,Moscow,Pennsylvania
Bridge Community Church,Community Managed,Nicholson,Pennsylvania
Garden of Prayer Church of God in Christ,Community Managed,Philadelphia,Pennsylvania
18th District Community Townwatch,Community Managed,Philadelphia,Pennsylvania
Norris Square Childrens Center,Community Managed,Philadelphia,Pennsylvania
Zion Lutheran Church & Childcare,Community Managed,Philadelphia,Pennsylvania
Williams Temple Christian Methodist Episcopal Church,Community Managed,Philadelphia,Pennsylvania
"Ray of Hope Project, Inc.",Community Managed,Philadelphia,Pennsylvania
Team Cheka,Community Managed,Philadelphia,Pennsylvania
28th Street Family,Community Managed,Philadelphia,Pennsylvania
22nd Police District Advisory Council,Community Managed,Philadelphia,Pennsylvania
Amatullah's Treasures,Community Managed,Philadelphia,Pennsylvania
Acelero Learning Head Start,Community Managed,Philadelphia,Pennsylvania
Galaei,Community Managed,Philadelphia,Pennsylvania
